Reptilia	Sceloporus_tristichus	Sce_tri	
Reptilia	Crotalus_mitchellii_pyrrhus	CrotMitch1.0	
Reptilia	Cuora_mccordi	ASM384633v1	
Reptilia	Anolis_carolinensis	goldenPath_anoCar2	
Reptilia	Actinemys_marmorata	Amar_v1	
Reptilia	Phrynosoma_platyrhinos	Phr_pla	
Reptilia	Mesoclemmys_tuberculata	1.0	
Reptilia	Pituophis_catenifer_pumilus	Pit_cat	
Reptilia	Crotalus_viridis	CroVir2.0	
Reptilia	Trachemys_scripta	CAS_Tse_1.0	
Reptilia	Lacerta_bilineata	L_bilineata	
Reptilia	Trachemys_scripta_elegans	Tra_scr	
Reptilia	Platysternon_megacephalum	ASM394214v1	
Reptilia	Chelonoidis_abingdonii	ASM359739v1	
Reptilia	Diadophis_punctatus_similis	Dia_pun	
Reptilia	Aspidoscelis_tigris_stejnegeri	Asp_tig	
Reptilia	Emydura_subglobosa	1.0	
Reptilia	Salvator_merianae	HLtupMer6	
Reptilia	Anilios_bituberculatus	Ani_bit	
Reptilia	Gopherus_evgoodei	GopEvg1_v1	
Reptilia	Mauremys_reevesii	Mau_ree	
Reptilia	Carettochelys_insculpta	1.0	
Reptilia	Crocodylus_porosus	crocgenomes_sub2	
Reptilia	Gekko_japonicus	V1.1	
Reptilia	Anolis_carolinensis	ensembl_79_AnoCar2.0	
Reptilia	Sphenodon_punctatus	GCA_003113815	
Reptilia	Calyptommatus_sinebrachiatus	Cal_sin	
Reptilia	Sceloporus_undulatus	Sce_und	
Reptilia	Gopherus_agassizii	ASM289641v1	
Reptilia	Protobothrops_mucrosquamatus	P.Mucros_1.0	
Reptilia	Pelusios_castaneus	1.0	
Reptilia	Tretioscincus_oriximinensis	Tre_ori	
Reptilia	Dermochelys_coriacea	GSC_toitle_1.0	
Reptilia	Malaclemys_terrapin_terrapin	terp_v2_2	
Reptilia	Pelodiscus_sinensis	PelSin_1.0	
Reptilia	Elgaria_multicarinata_webbii	Elg_mul	
Reptilia	Varanus_salvator_macromaculatus	Var_sal	
Reptilia	Vipera_berus	Vber.be_1.0	
Reptilia	Protobothrops_flavoviridis	GCA_003402635.1_HabAm_1.0	
Reptilia	Hydrophis_melanocephalus	1.0	
Reptilia	Gavialis_gangeticus	ggan_v0.2	
Reptilia	Bungarus_multicinctus	Bun_mul	
Reptilia	Naja_naja	Naj_naj	
Reptilia	Chelydra_serpentina	1.0	
Reptilia	Crotalus_horridus	v1	
Reptilia	Caretta_caretta	Car_car	
Reptilia	Shinisaurus_crocodilurus	Shi_cro	
Reptilia	Thamnophis_elegans	rThaEle1.pri	
Reptilia	Alligator_sinensis	All_sin	
Reptilia	Python_bivittatus	5.0.2	
Reptilia	Podocnemis_expansa	1.0	
Reptilia	Vipera_berus_berus	Vip_ber	
Reptilia	Lacerta_viridis	ASM90024590v1	
Reptilia	Notechis_scutatus	TS10Xv2-PR	
Reptilia	Bothrops_jararaca	Bot_jar	
Reptilia	Apalone_spinifera	Apla_1.0	
Reptilia	Alligator_mississippiensis	goldenpath_allMis1_2012	
Reptilia	Laticauda_colubrina	1.0	
Reptilia	Pantherophis_obsoletus	Pan_obs	
Reptilia	Hydrophis_cyanocinctus	ASM402372v1	
Reptilia	Hydrophis_curtus	Hyd_cur	
Reptilia	Chrysemys_picta	goldenpath_chrPic1_2011	
Reptilia	Charina_bottae	Cha_bot	
Reptilia	Sphaerodactylus_townsendi	Sph_tow	
Reptilia	Ophiophagus_hannah	OphHan1.0	
Reptilia	Azemiops_feae	Aze_fea	
Reptilia	Terrapene_mexicana_triunguis	T_m_triunguis-1.0	
Reptilia	Alligator_mississippiensis	All_mis	
Reptilia	Pseudonaja_textilis	EBS10Xv	
Reptilia	Dermatemys_mawii	1.0	
Reptilia	Crotalus_adamanteus	Cro_ada	
Reptilia	Paroedura_picta	Ppicta_assembly_v1	
Reptilia	Chelonia_mydas	CheMyd_1.0	
Reptilia	Alligator_sinensis	ASM45574v1	
Reptilia	Sceloporus_occidentalis	Sce_occ	
Reptilia	Laticauda_laticaudata	1.0	
Reptilia	Varanus_komodoensis	ASM479886v1	
Reptilia	Ptyas_mucosa	Pmuc_v1.0	
Reptilia	Crocodylus_porosus	Cro_por	
Reptilia	Thermophis_baileyi	The_bai	
Reptilia	Pantherophis_guttatus	PanGut1.0	
Reptilia	Lacerta_agilis	rLacAgi1	
Reptilia	Pogona_vitticeps	pvi1.1	
Reptilia	Arizona_elegans	Ari_ele	
Reptilia	Rafetus_swinhoei	Raf_swi	
Reptilia	Thamnophis_sirtalis	6.0	
Reptilia	Emydocephalus_ijimae	1.0	
Reptilia	Crotalus_tigris	Cro_tig	
Reptilia	Mauremys_mutica	Mau_mut	
Reptilia	Cuora_amboinensis	Cuora_amboinensis-1.0	
Reptilia	Zootoca_vivipara	UG_Zviv_1	
Reptilia	Podarcis_muralis	PodMur_1.0	