species_group	species	assembly_version
Aves	Molothrus_ater	BPBGC_Mater_1.0	
Aves	Sturnus_vulgaris	GCA_001447265.1	
Aves	Anas_platyrhynchos	ensembl_79_BGI_duck_1.0	
Aves	Anser_brachyrhynchus	ASM259213v1	
Aves	Dromaius_novaehollandiae	GCA_003342905.1_droNov1	
Aves	Nestor_notabilis	bgi_2011-10-28	
Aves	Passer_domesticus	Passer_domesticus-1.0	
Aves	Opisthocomus_hoazin	bgi_2011-10-28	
Aves	Urile_pelagicus	ASM217343v1	
Aves	Paradisaea_raggiana	GCA_003713265	
Aves	Colinus_virginianus	NB1.1	
Aves	Geospiza_fortis	goldenpath_geoFor1	
Aves	Anomalopteryx_didiformis	anoDid_nucDNA_orig	
Aves	Columba_livia	bgi_2011-10-28	
Aves	Strix_occidentalis_caurina	Soccid_v01	
Aves	Chrysolophus_pictus	Chrysolophus_pictus_GenomeV1.0	
Aves	Buceros_rhinoceros	bgi_2011-10-28	
Aves	Phoenicopterus_ruber	bgi_2011-10-28	
Aves	Numida_meleagris	NumMel1.0	
Aves	Empidonax_traillii	GCA_003031625	
Aves	Rhea_americana	GCA_003343005.1_rheAme1	
Aves	Meleagris_gallopavo	goldenpath_melGal1	
Aves	Nannopterum_brasilianus	ASM210954v1	
Aves	Pygoscelis_papua	ASM326461v1	
Aves	Hirundo_rustica	GCA_003692655.1	
Aves	Falco_peregrinus	bgi_2011-10-28	
Aves	Pseudopodoces_humilis	1.0	
Aves	Charadrius_vociferus	bgi_2011-10-28	
Aves	Taeniopygia_guttata	goldenpath_taeGut2	
Aves	Gallirallus_okinawae	Gallirallus_okinawae_ver1.0	
Aves	Nisaetus_nipalensis	Nnipalensis_1.0	
Aves	Lonchura_striata_domestica	LonStrDom1	
Aves	Apteryx_australis_mantelli	AptMant0	
Aves	Junco_hyemalis	ASM382977v1	
Aves	Antrostomus_carolinensis	bgi_2011-10-28	
Aves	Nipponia_nippon	bgi_2011-10-28	
Aves	Patagioenas_fasciata	NIATT_ARIZONA	
Aves	Paradisaea_rubra	GCA_003713215	
Aves	Haliaeetus_albicilla	bgi_2012-3-16	
Aves	Hemignathus_virens	ASM328649v1	
Aves	Corvus_brachyrhynchos	bgi_2011-10-28	
Aves	Alauda_arvensis	skylark	
Aves	Eopsaltria_australis	eyr_v1	
Aves	Calypte_anna	bgi_2011-10-28	
Aves	Picoides_pubescens	bgi_2011-10-28	
Aves	Amazona_aestiva	ASM142067v1	
Aves	Uria_lomvia	UriLom_1.1	
Aves	Acanthisitta_chloris	bgi_2011-10-28	
Aves	Melopsittacus_undulatus	goldenpath_melUnd1	
Aves	Nannopterum_harrisi	Pharrisi_ref_V1	
Aves	Psittacula_krameri	P.krameri1.0	
Aves	Spheniscus_humboldti	ASM326454v1	
Aves	Zosterops_lateralis_melanops	v1	
Aves	Fulmarus_glacialis	bgi_2011-10-28	
Aves	Eupsittula_pertinax	ASM1131718v1	
Aves	Acridotheres_javanicus	ASM284967v1	
Aves	Lyrurus_tetrix	tetTet1	
Aves	Chlamydotis_undulata	bgi_2011-10-28	
Aves	Tauraco_erythrolophus	bgi_2011-10-28	
Aves	Grus_japonensis	ver1.0	
Aves	Oxyura_jamaicensis	Ojam_1.0	
Aves	Zosterops_lateralis	ASM128173v1	
Aves	Ara_macao	SMACv1.1	
Aves	Pterocnemia_pennata	GCA_003342835.1_rhePen1	
Aves	Apaloderma_vittatum	bgi_2011-10-28	
Aves	Pelecanus_crispus	bgi_2011-10-28	
Aves	Pterocles_gutturalis	bgi_2011-10-28	
Aves	Bubo_blakistoni	ver1.0	
Aves	Apteryx_haastii	GCA_003342985.1_aptHaa1	
Aves	Parotia_lawesii	GCA_003713295	
Aves	Haliaeetus_leucocephalus	bgi_2012-03-16	
Aves	Chlamydotis_macqueenii	ASM69519v1	
Aves	Ficedula_albicollis	FicAlb_1.4	
Aves	Cuculus_canorus	bgi_2011-10-28	
Aves	Ardeotis_arabs	REN_Aarabs_1.0	
Aves	Saxicola_maurus	Saxicola_maurus.2	
Aves	Pipra_filicauda	ASM394559v1	
Aves	Cariama_cristata	bgi_2011-10-28	
Aves	Podiceps_cristatus	bgi_2011-10-28	
Aves	Eurynorhynchus_pygmeus	GCA_003697955	
Aves	Diphyllodes_magnificus	GCA_003713285.1	
Aves	Merops_nubicus	bgi_2011-10-28	
Aves	Spheniscus_mendiculus	ASM326465v1	
Aves	Serinus_canaria	ncbi_100	
Aves	Gallus_gallus	goldenpath_galGal4	
Aves	Amazona_vittata	AV1	
Aves	Grus_monacha	Gmonacha_1.0	
Aves	Tympanuchus_cupido	GPC_3440_v1	
Aves	Athene_cunicularia	athCun1	
Aves	Tinamus_guttatus	bgi_2011-10-28	
Aves	Pionus_senilis	ASM1176272v1	
Aves	Aptenodytes_forsteri	bgi_2011-10-28	
Aves	Phaethon_lepturus	bgi_2011-10-28	
Aves	Corapipo_altera	ASM394572v1	
Aves	Apteryx_rowi	GCA_003343035	
Aves	Phylloscopus_plumbeitarsus	GWplu1.0	
Aves	Leptosomus_discolor	bgi_2011-10-28	
Aves	Ciconia_boyciana	ver1.0	
Aves	Recurvirostra_avosetta	ASM402374v1	
Aves	Bambusicola_thoracicus	Bthov1.0	
Aves	Zonotrichia_albicollis	1.0.1	
Aves	Cicinnurus_regius	GCA_003713305.1	
Aves	Tachycineta_bicolor	CLO_TRES_1	
Aves	Egretta_garzetta	bgi_2011-10-28	
Aves	Corvus_cornix_cornix	932674	
Aves	Anas_zonorhyncha	ASM222487v1	
Aves	Spheniscus_magellanicus	ASM326471v1	
Aves	Nothoprocta_perdicaria	GCF_003342845.1_notPer1	
Aves	Strigops_habroptilus	bStrHab1_v1	
Aves	Cathartes_aura	bgi_2011-10-28	
Aves	Pygoscelis_adeliae	bgi_2011-10-28	
Aves	Setophaga_coronata	mywagenomev1.1	
Aves	Agapornis_roseicollis	ASM263189v1	
Aves	Anser_cygnoides	PRJNA183603	
Aves	Corvus_hawaiiensis	GCA_003402825.1_Coha_1.0	
Aves	Anas_platyrhynchos	bgi_2011-10-28	
Aves	Mesitornis_unicolor	bgi_2011-10-28	
Aves	Parus_major	1.0.3	
Aves	Sporophila_hypoxantha	SpoHypox2.0	
Aves	Aquila_chrysaetos_canadensis	ncbi_100	
Aves	Gavia_stellata	bgi_2011-10-28	
Aves	Guaruba_guarouba	ASM1180009v1	
Aves	Lepidothrix_coronata	1.0	
Aves	Limosa_lapponica_baueri	Godwit_v1	
Aves	Colius_striatus	bgi_2011-10-28	
Aves	Tyto_alba	bgi_2011-10-28	
Aves	Calidris_pugnax	ASM143184v1	
Aves	Phalacrocorax_harrisi	Pharrisi_ref_V1	
Aves	Himantopus_himantopus	Hhiman_2.0	
Aves	Balearica_regulorum	bgi_2011-10-28	
Aves	Phalacrocorax_carbo	bgi_2011-10-28	
Aves	Casuarius_casuarius	GCA_003342895.1_casCas1	
Aves	Phylloscopus_trochiloides_viridanus	GWvir1.0	
Aves	Manacus_vitellinus	2011-10-28	
Aves	Pygoscelis_antarcticus	ASM326459v1	
Aves	Erythrura_gouldiae	GouldianFinchv1	
Aves	Eurypyga_helias	bgi_2011-10-28	
Aves	Phasianus_colchicus	ASM414374v1	
Aves	Coturnix_japonica	ncbi_2.0	
Aves	Callipepla_squamata	ASM221830v1	
Aves	Chaetura_pelagica	bgi_2011-10-28	
Aves	Struthio_camelus	bgi_2011-10-28	
Aves	Falco_cherrug	F_cherrug_v1.0	